City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
225,ponta delgada,37.7333,-25.6667,21.77,88,75,6.69,PT,1700168769
226,remire-montjoly,4.9167,-52.2667,30.02,74,100,4.63,GF,1700168769
227,rawson,-43.3002,-65.1023,22.32,27,100,11.81,AR,1700168769
228,mananjary,-21.2167,48.3333,21.34,92,90,1.68,MG,1700168770
229,wulingyuan,29.3494,110.5441,7.59,93,95,1.65,CN,1700168770
230,qaqortoq,60.7167,-46.0333,-6.66,79,27,3.38,GL,1700168691
231,kodiak,57.79,-152.4072,3.73,56,100,9.26,US,1700168678
232,port sudan,19.6175,37.2164,26.38,65,100,3.42,SD,1700168700
233,alo,7.4178,6.7371,26.14,61,20,1.06,NG,1700168770
234,mossendjo,-2.9506,12.7261,21.75,98,100,0.61,CG,1700168771
235,belo jardim,-8.3356,-36.4242,26.4,50,70,7.91,BR,1700168771
236,babor - ville,36.4899,5.5393,13.56,53,58,0.59,DZ,1700168771
237,sisimiut,66.9395,-53.6735,-6.55,83,100,4.41,GL,1700168771
238,chonchi,-42.6128,-73.8092,11.73,97,100,4.64,CL,1700168585
239,paracale,14.2804,122.7881,26.16,83,93,6.74,PH,1700168772
240,kapuskasing,49.4169,-82.4331,10.05,50,100,10.29,CA,1700168681
241,freeport,40.6576,-73.5832,18.99,61,0,3.6,US,1700168772
242,cartagena,10.3997,-75.5144,31.79,66,20,4.12,CO,1700168560
243,adi keyh,14.8444,39.3772,14.95,81,100,2.21,ER,1700168772
244,lerwick,60.1545,-1.1494,5.81,62,100,2.78,GB,1700168772
245,twin falls,42.3505,-114.6445,14.19,33,0,5.14,US,1700168773
246,tsetserleg,47.475,101.4542,-7.31,78,0,2.78,MN,1700168773
247,labrador city,52.9463,-66.9114,-3.05,74,75,4.12,CA,1700168773
248,papao,-17.75,-149.55,27.82,78,79,10.94,PF,1700168773
249,nellore,14.4333,79.9667,25.05,82,98,0.58,IN,1700168773
250,moose jaw,50.4001,-105.5344,2.15,55,20,6.69,CA,1700168773
251,sandnessjoen,66.0217,12.6316,-3.94,68,0,4.63,NO,1700168598
252,luderitz,-26.6481,15.1594,18.24,78,31,3.06,NA,1700168774
253,yuzhno-kurilsk,44.0306,145.8556,6.32,65,100,9.08,RU,1700168774
254,inirida,3.8653,-67.9239,28.77,73,100,0.77,CO,1700168774
255,nadym,65.5333,72.5167,-15.49,89,96,3.69,RU,1700168774
256,taro,-8.3862,115.28,22.0,92,50,0.33,ID,1700168774
257,veshenskaya,49.6303,41.7334,7.84,89,100,2.24,RU,1700168775
258,pisco,-13.7,-76.2167,23.03,68,0,8.75,PE,1700168733
259,amga,60.8953,131.9608,-23.21,100,98,1.85,RU,1700168775
260,talas,38.6908,35.5538,6.37,93,75,4.12,TR,1700168775
261,orkney,-26.9802,26.6727,22.42,47,100,3.23,ZA,1700168488
262,harstad,68.799,16.5293,1.66,96,100,9.39,NO,1700168775
263,eenhana,-17.4667,16.3333,20.37,84,98,5.41,NA,1700168776
264,tannum sands,-23.9504,151.3693,25.97,78,3,4.63,AU,1700168776
265,zaragoza,41.6561,-0.8773,17.49,71,20,3.6,ES,1700168776
266,flying fish cove,-10.4217,105.6791,24.82,88,100,2.57,CX,1700168777
267,buka,40.8108,69.1986,13.94,18,90,0.77,UZ,1700168777
268,kalsdorf bei graz,46.961,15.4723,8.55,81,68,0.51,AT,1700168777
269,vilyuchinsk,52.9306,158.4028,-7.26,84,8,4.45,RU,1700168777
270,kavaratti,10.5669,72.642,28.3,76,94,3.24,IN,1700168778
271,pandan,14.0453,124.1694,26.48,86,98,7.85,PH,1700168778
272,shelton,41.3165,-73.0932,16.59,55,0,3.09,US,1700168548
273,stans,46.9585,8.366,14.95,51,75,12.86,CH,1700168778
274,portland,45.5234,-122.6762,12.95,71,75,1.54,US,1700168678
275,kish,26.5578,54.0194,22.15,83,75,5.14,IR,1700168779
276,hola,51.5377,23.1902,2.1,68,94,2.97,PL,1700168779
277,morinville,53.8001,-113.652,5.46,45,75,6.17,CA,1700168779
278,leava,-14.3,-178.1667,28.51,79,52,3.06,WF,1700168780
279,prineville,44.2999,-120.8345,9.14,77,100,2.24,US,1700168780
280,chiredzi,-21.05,31.6667,20.99,49,0,1.65,ZW,1700168780
281,aracuai,-16.8497,-42.0703,33.27,22,14,2.31,BR,1700168781
282,isangel,-19.55,169.2667,28.06,69,20,1.54,VU,1700168781
283,gadzhiyevo,69.2551,33.3362,-7.41,89,100,6.13,RU,1700168781
284,nyagan,62.1406,65.3936,-8.05,95,100,1.57,RU,1700168782
285,guadalupe y calvo,26.1,-106.9667,21.24,29,72,3.15,MX,1700168782
286,quibala,-10.7337,14.98,17.72,97,100,0.81,AO,1700168782
287,cabeza del buey,38.7223,-5.2195,13.97,80,44,0.71,ES,1700168783
288,kapa'a,22.0752,-159.319,27.99,74,20,8.75,US,1700168783
289,puerto cabezas,14.0351,-83.3888,27.98,89,40,2.06,NI,1700168783
290,vernon,50.2581,-119.2691,3.74,75,42,2.06,CA,1700168716
291,sompeta,18.9333,84.6,23.39,71,79,2.47,IN,1700168783
292,an nuhud,12.7,28.4333,24.56,27,60,6.09,SD,1700168784
293,ta`u,-14.2336,-169.5144,28.01,82,37,5.32,AS,1700168784
294,lazaro cardenas,17.9583,-102.2,30.14,72,13,3.56,MX,1700168784
295,ipameri,-17.7219,-48.1597,30.4,32,92,0.23,BR,1700168661
296,q'vareli,41.9549,45.8172,16.19,43,92,1.47,GE,1700168784
297,whitehorse,60.7161,-135.0538,4.43,45,20,7.2,CA,1700168681
298,nekrasovskoye,57.6766,40.3657,-2.22,79,40,2.0,RU,1700168785
299,shingu,33.7333,135.9833,17.33,96,100,8.4,JP,1700168785
300,hasaki,35.7333,140.8333,13.22,76,100,11.36,JP,1700168785
301,tual,-5.6667,132.75,27.62,69,30,2.65,ID,1700168785
302,la'ie,21.6477,-157.9253,27.98,67,100,2.68,US,1700168786
303,keflavik,64.0049,-22.5624,5.24,81,75,4.12,IS,1700168786
304,nikolayevsk-on-amure,53.1406,140.73,-7.74,91,100,0.83,RU,1700168786
305,sao vicente,-23.9631,-46.3919,35.15,55,0,1.03,BR,1700168654
306,dikhil,11.5,42.1667,24.33,75,40,3.5,DJ,1700168786
307,sinabang,2.4803,96.3801,26.3,85,100,2.33,ID,1700168787
308,gilgit,35.9221,74.3087,7.23,36,10,1.2,PK,1700168787
309,mont-dore,-22.2833,166.5833,25.0,99,26,1.58,NC,1700168787
310,kontcha,7.9667,12.2333,25.96,55,9,1.06,CM,1700168787
311,lagunas,-5.2269,-75.6753,33.61,45,88,1.37,PE,1700168688
312,usinsk,65.9939,57.5281,-13.85,87,100,4.92,RU,1700168788
313,al hufuf,25.3646,49.5653,20.19,100,100,1.54,SA,1700168788
314,zaozersk,69.4005,32.4476,-9.87,91,95,4.13,RU,1700168788
315,montepuez,-13.1256,38.9997,21.18,80,1,3.57,MZ,1700168788
316,brazzaville,-4.2658,15.2832,29.2,70,20,1.54,CG,1700168789
317,solleftea,63.1667,17.2667,-14.08,100,84,0.76,SE,1700168789
318,dean funes,-30.4204,-64.3498,26.31,32,3,5.31,AR,1700168789
319,lucapa,-8.4192,20.7447,20.16,92,93,1.61,AO,1700168685
320,kiama,-34.6833,150.8667,17.22,86,98,1.34,AU,1700168789
321,rikaze,29.25,88.8833,-0.27,41,0,1.89,CN,1700168790
322,lihue,21.9789,-159.3672,27.58,66,20,8.75,US,1700168682
323,imperatriz,-5.5264,-47.4917,34.03,52,20,2.06,BR,1700168790
324,suva,-18.1416,178.4415,27.71,78,40,0.0,FJ,1700168790
325,berber,18.0216,33.983,25.83,25,100,6.48,SD,1700168790
326,holualoa,19.6228,-155.9522,25.43,76,40,3.6,US,1700168791
327,petropavlovsk-kamchatsky,53.0452,158.6483,-8.08,75,20,6.26,RU,1700168715
328,urumqi,43.801,87.6005,-2.47,80,0,1.0,CN,1700168791
329,sawakin,19.1059,37.3321,27.37,67,87,4.62,SD,1700168791
330,barbalha,-7.3111,-39.3042,35.89,28,20,3.6,BR,1700168792
331,la passe,45.5549,-0.8967,12.21,78,98,5.77,FR,1700168704
332,quellon,-43.1167,-73.6167,9.57,96,100,5.25,CL,1700168576
333,nova vicosa,-17.8919,-39.3719,25.57,78,14,7.14,BR,1700168648
334,oum hadjer,13.2954,19.6966,27.1,16,71,6.16,TD,1700168792
335,severo-yeniseyskiy,60.3725,93.0408,-2.46,94,100,4.47,RU,1700168792
336,beloyarskiy,63.7119,66.6722,-10.0,96,100,0.89,RU,1700168793
337,cadale,2.7603,46.3222,28.34,75,20,4.47,SO,1700168793
338,daimiel,39.07,-3.615,15.02,87,0,0.51,ES,1700168793
339,ola,59.5833,151.2833,-16.89,82,16,2.71,RU,1700168793
340,tralee,52.2704,-9.7026,8.49,78,43,6.75,IE,1700168794
341,chachapoyas,-6.2317,-77.869,17.56,85,95,1.26,PE,1700168794
342,berezovyy,51.6667,135.7,-8.44,87,90,0.84,RU,1700168794
343,merrill,45.1805,-89.6835,17.97,62,97,2.24,US,1700168794
344,sao tome,0.3365,6.7273,26.93,84,17,1.27,ST,1700168795
345,sinop,41.7711,34.8709,8.21,82,99,2.89,TR,1700168795
346,acarau,-2.8856,-40.12,27.17,74,5,8.73,BR,1700168795
347,dawesville,30.9224,-84.0091,20.93,87,100,4.12,US,1700168795
348,vila franca do campo,37.7167,-25.4333,21.6,99,100,8.79,PT,1700168795
349,arys,42.4252,68.795,14.33,25,99,2.17,KZ,1700168796
350,kourou,5.1552,-52.6478,30.03,81,88,4.43,GF,1700168796
351,walvis bay,-22.9575,14.5053,17.83,87,0,2.41,NA,1700168712
352,dunedin,-45.8742,170.5036,8.78,97,100,3.13,NZ,1700168467
353,santa barbara,34.7333,-120.0343,18.46,69,100,4.12,US,1700168601
354,selkirk,50.1436,-96.8845,0.61,77,66,3.58,CA,1700168773
355,shahrud,36.4182,54.9763,11.63,43,11,3.22,IR,1700168797
356,guerrero negro,27.9769,-114.0611,22.76,73,100,5.01,MX,1700168797
357,baoying,33.2292,119.3092,5.77,55,0,4.16,CN,1700168797
358,port hueneme,34.1478,-119.1951,24.14,70,20,5.66,US,1700168765
359,wellawaya,6.7318,81.1018,24.07,93,94,1.05,LK,1700168797
360,arkhangel'sk,64.5401,40.5433,-5.49,84,36,2.29,RU,1700168797
361,forster,-32.1667,152.5167,17.43,96,97,8.85,AU,1700168798
362,hanceville,34.0607,-86.7675,25.3,45,1,4.32,US,1700168556
